Date,CIPLA.NS,HCLTECH.NS,INFY.NS,LT.NS,LUPIN.NS,MARUTI.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,WIPRO.NS,NSE Index
03-04-2022,378.649994,370.350006,474.943756,744.466675,988.950012,1597.400024,197.233337,619.400024,475,220.575058,6328.649902
03-05-2022,385.5,365.612488,477.712494,748.900024,988.849976,1625.400024,200.333328,623.700012,475.962494,221.437561,6401.149902
03-06-2022,379.75,372.962494,478.987488,761.666687,982.799988,1650.449951,205.899994,621,480.799988,219.318802,6526.649902
03-07-2022,381.200012,371.975006,467.537506,799.099976,966.299988,1735.050049,210.733337,612.299988,459,212.006302,6537.25
03-10-2022,375.399994,360.262512,458.950012,824.599976,958.25,1801.099976,213.266663,597,449.899994,208.968796,6511.899902
03-11-2022,376.950012,363.637512,459.418762,820.033325,963.349976,1754.150024,215.399994,580.25,445.4375,209.943802,6516.899902
03-12-2022,378.700012,365.0625,458.912506,812.166687,961.049988,1764.050049,211.300003,604.299988,450.6875,212.531296,6493.100098
3/13/2018,380.399994,364.799988,419.700012,816.799988,948.700012,1747.349976,216.100006,572.950012,445.137512,211.350052,6504.200195
3/14/2018,386.5,354.212494,424.268738,836.633362,944.549988,1738.449951,215.166672,582.049988,446.3125,205.350052,6516.649902
3/18/2018,385.850006,353.262512,418.818756,827.033325,930.049988,1868.199951,216.633331,579.349976,448.587494,202.668793,6524.049805
3/19/2018,382.799988,350.899994,408.96875,830.666687,944.650024,1869.75,209.199997,585.299988,444.375,204.412552,6483.100098
3/20/2018,387.25,351.837494,412.881256,812.700012,940.799988,1856.550049,210.53334,590.200012,455.537506,207.131302,6493.200195
3/21/2018,387.950012,356.575012,413.206238,811.06665,944.650024,1868.550049,204.266663,580.400024,452.237488,213.075058,null
3/22/2018,null,null,null,null,null,null,null,null,null,null,6583.5
3/24/2018,391.049988,353.587494,409.475006,820.233337,953.5,1886.300049,214.066666,579.299988,461.075012,211.050049,6589.75
3/25/2018,391.25,349.424988,406.799988,832.299988,963.75,1901.699951,213.266663,579.299988,457.200012,205.687546,6601.399902
3/26/2018,387.100006,349.274994,406.112488,850.533325,936.75,1937.099976,216.866669,566.599976,453.837494,204.581299,6641.75
3/27/2018,386.399994,347.287506,403.881256,855.733337,933.950012,1935.550049,220.666672,560.549988,458.362488,207.525055,6695.899902
3/28/2018,386.950012,351.450012,407.825012,858.766663,947.25,1931.400024,219.600006,563.200012,459.1875,207.018799,6704.200195
3/31/2018,382.799988,347.674988,410.350006,847.93335,933.150024,1971.75,212.46666,574.75,448.837494,203.700043,6721.049805
04-01-2022,381.5,354.612488,414.243744,852.700012,945.099976,1930.849976,215.866669,572.099976,454.887512,210.393799,6752.549805
04-02-2022,389.25,356.424988,415.256256,866.966675,958.799988,1933.199951,220,575.25,457.950012,212.212555,6736.100098
04-03-2022,396.399994,356.075012,417.268738,860.06665,978.349976,1939.699951,217.5,578.549988,452.837494,210.356308,6694.350098
04-04-2022,404.100006,349.475006,414.506256,851.400024,977.099976,1927.199951,217.100006,571.799988,453.274994,207.525055,6695.049805
04-07-2022,396.600006,351.612488,411.674988,856.233337,960.75,1904.949951,217.066666,588.099976,448.25,208.837555,6796.200195
04-09-2022,401,345.0625,406.818756,865.366638,973.400024,1932.5,214.96666,630,434.4375,207.918808,6796.399902
04-10-2022,397.399994,339.350006,400.149994,876.166687,954,1959.949951,214.633331,615.400024,427.049988,210.450058,6776.299805
04-11-2022,402.049988,350.162506,404.393738,865.666687,948.25,1935.699951,213.333328,628.150024,434.887512,213.037552,6733.100098
4/15/2018,400.649994,356.200012,407.475006,865.233337,942.25,1927.199951,212.899994,616.400024,441.049988,220.706299,6675.299805
4/16/2018,396.899994,353.125,394.662506,839.93335,952.700012,1935.25,211.03334,613.849976,437.649994,214.537552,6779.399902
4/17/2018,400.700012,356.1875,399.006256,845.966675,955.650024,1951.349976,214.899994,625.049988,442.950012,219.693802,6817.649902
4/21/2018,399.799988,359.924988,397.868744,881.700012,956.900024,1988.300049,215.399994,621.25,443.5,204.825058,6815.350098
4/22/2018,396.5,363.162506,393.831238,897.700012,982.599976,1975.599976,217.566666,619.950012,443.424988,198.956299,6840.799805
4/23/2018,399.049988,359.612488,396.581238,917.56665,986.700012,1982.050049,217.333328,625.599976,441.25,196.762543,null
4/24/2018,399.049988,359.612488,396.581238,917.56665,986.700012,1982.050049,217.333328,625.599976,441.25,196.762543,6782.75
4/25/2018,394.25,362.350006,396.950012,899.93335,992.299988,1956.199951,213.96666,622,451.1875,194.718796,6761.25
4/28/2018,406.899994,354.899994,397.256256,885.666687,999.349976,1950.449951,214.233337,636.650024,456.3125,198.600052,6715.25
4/29/2018,401.200012,353.612488,397.21875,880.93335,991.200012,1916.5,213.53334,639.450012,461.575012,196.800049,6696.399902
4/30/2018,397.450012,350.725006,397.600006,862.733337,989.599976,1923,216.733337,632.799988,458.037506,195.881302,6694.799805
05-02-2022,402.100006,356.1875,402.462494,842.366638,1010.099976,1883.400024,219.53334,629.900024,459.399994,198.187546,6699.350098
05-05-2022,392.799988,345.450012,397.112488,855.966675,997.900024,1897.849976,223.600006,626.599976,455,195.281296,6715.299805
05-06-2022,390.899994,345.637512,395.643738,866.666687,1002.349976,1910.25,224.800003,626.099976,450.350006,193.068802,6652.549805
05-07-2022,382.600006,330.200012,383.418762,863.733337,990,1881.25,223.433334,630.75,434.112488,189.787552,6659.850098
05-08-2022,388.649994,334.950012,383.162506,866.099976,979.299988,1896.599976,222.666672,624.200012,436.325012,191.606293,6858.799805
05-09-2022,392.299988,342.674988,388.931244,895.133362,966,1974.849976,231.96666,624.099976,444.112488,192.731293,7014.25
05-12-2022,387.75,348.600006,396.887512,924.833313,959.049988,2049.899902,239.066666,613.349976,448.600006,191.981293,7108.75
5/13/2018,390.600006,358.225006,408.15625,939.533325,965.099976,2090.350098,248.399994,609.099976,455.637512,198.450043,7108.75
5/14/2018,394.549988,352.850006,406.762512,929.666687,965.900024,2085.199951,245.399994,612.150024,459.399994,196.706299,7123.149902
5/15/2018,398.100006,351.450012,409.056244,918.93335,953.349976,2117.850098,252.366669,621.400024,457.5625,193.687546,7203
5/16/2018,388.25,341.287506,397.193756,951.799988,958.650024,2152.149902,256.100006,613.5,455.637512,188.550049,7263.549805
5/19/2018,384.75,326.799988,376.881256,1016.366638,914.299988,2214.649902,277.833344,584.25,434.6875,180.768799,7275.5
5/20/2018,389.350006,327.125,390.274994,1006.233337,929.799988,2194,266.733337,587.400024,442.762512,185.49379,7252.899902
5/21/2018,389.649994,334.012512,394.637512,984.033325,928.700012,2169.199951,265.633331,576.900024,436.625,184.912552,7276.399902
5/22/2018,387.850006,330.962494,389.237488,987.099976,927.5,2264.800049,261.866669,580.099976,436.962494,181.312546,7367.100098
5/23/2018,387.899994,335.262512,383.693756,1009.333313,923.849976,2385.850098,271.966675,584.299988,446.587494,183.750046,7359.049805
5/26/2018,381.299988,346.549988,386.856262,1032.166626,909.400024,2341.300049,270.200012,591.099976,451.350006,189.750046,7318
5/27/2018,378,345.875,391.756256,1044.033325,919.450012,2302.050049,263.366669,592.5,463.612488,190.575043,7329.649902
5/28/2018,379.850006,360.112488,396.662506,1051.400024,929.700012,2309.949951,256.166656,584.099976,471.712494,192.843796,7235.649902
5/29/2018,372.450012,349.9375,365.5625,1033.099976,920.900024,2305.850098,249.433334,586.599976,469.4375,187.425049,7229.950195
5/30/2018,384.549988,354.637512,367.424988,1030.333374,935.950012,2271.800049,252.100006,610.650024,480.75,189.825043,7362.5
06-02-2022,387.200012,345.700012,374.143738,1097.333374,921.950012,2324.300049,266.366669,599.200012,473.975006,187.162552,7415.850098
06-03-2022,389,337.075012,377.149994,1102.233276,915.700012,2336.850098,277.833344,603.150024,475.299988,185.325043,7402.25
06-04-2022,390.799988,327.0625,373.0625,1116.43335,924.650024,2372.050049,274,596.049988,471.524994,184.518799,7474.100098
06-05-2022,387.200012,333.225006,380.143738,1121.233276,926.849976,2381.199951,279.433319,597.849976,476.100006,187.856293,7583.399902
06-06-2022,396.149994,331.924988,375.381256,1127.366699,947.700012,2392.050049,310.433319,599.650024,477.537506,190.93129,7654.600098
06-09-2022,396.549988,342.25,373.306244,1168.099976,957.599976,2435.149902,302.100006,600.400024,488.9375,191.906296,7656.399902
06-10-2022,407.600006,349.5625,384.393738,1159.300049,976.200012,2464.300049,293.700012,609,501.037506,196.875046,7626.850098
06-11-2022,413.149994,351.450012,399.168762,1144.966675,980.400024,2448.550049,284.866669,613.900024,504.762512,197.887543,7649.899902
06-12-2022,416.149994,351.6875,396.881256,1148.266724,988.650024,2480.850098,285.733337,631.200012,499.700012,199.556305,7542.100098
6/13/2018,414.100006,359.737488,398.375,1123.966675,983.400024,2403.350098,281.766663,629.700012,505.337494,198.900055,7533.549805
6/16/2018,413.600006,355.612488,405.518738,1100.333374,971.849976,2381.149902,284.600006,645.349976,505.662506,201.037552,7631.700195
6/17/2018,412.950012,363.612488,405.856262,1123.033325,976.349976,2414.449951,296.733337,649.799988,506.762512,201.037552,7558.200195
6/18/2018,425.100006,359.212494,405.0625,1114.233276,999.150024,2435,295.133331,633.349976,502.962494,198.937546,7540.700195
6/19/2018,425.950012,364.649994,413.987488,1104.466675,1011.299988,2380.050049,280.5,642.549988,507.637512,201.450043,7511.450195
6/20/2018,425.649994,360.987488,414.575012,1098.633301,999.450012,2366.399902,278.333344,631.299988,502.262512,201.300049,7493.350098
6/23/2018,423.899994,354.762512,404.068756,1104.766724,1011.049988,2380.300049,291.733337,633.950012,500.637512,199.275055,7580.200195
6/24/2018,427.399994,353.987488,400.475006,1113.633301,1009.200012,2414.600098,295.299988,627.799988,498.637512,199.237549,7569.25
6/25/2018,426.450012,354.725006,401.40625,1100.033325,1023.799988,2471,291.233337,632.799988,504.549988,198.431305,7493.200195
6/26/2018,425.549988,358.524994,397.8125,1115.699951,1028.599976,2486.899902,274.233337,635.150024,511.799988,200.793793,7508.799805
6/27/2018,436.899994,370.362488,402.924988,1111.533325,1048.349976,2454.699951,274.133331,660.849976,531.424988,204.731308,7611.350098
6/30/2018,438,375.037506,406.943756,1134.466675,1048.050049,2439.350098,283.233337,687.950012,538,204.900055,7634.700195
07-01-2022,437.25,374.387512,402.631256,1150.900024,1049.550049,2583.800049,282.066681,679.25,527.224976,201.825043,7725.149902
07-02-2022,444.299988,370.075012,401.912506,1169.300049,1074.199951,2641.949951,284.399994,693.400024,525.174988,202.818802,7714.799805
07-03-2022,447.700012,366.612488,401.337494,1168.233276,1082.050049,2629.899902,278.766663,706.849976,528.362488,208.312546,7751.600098
07-04-2022,449.299988,370.087494,405.743744,1161.800049,1088.449951,2642.5,281.200012,709.799988,528.974976,205.031296,7787.149902
07-07-2022,449.649994,377.125,418.181244,1166.233276,1078.099976,2638.850098,277.033325,723.5,534.325012,209.100052,7623.200195
07-08-2022,442,369.537506,417.768738,1115.033325,1058.699951,2589.649902,264.466675,726.049988,526.424988,206.156296,7585
07-09-2022,436.25,368.299988,413.793762,1101.099976,1038.400024,2516.449951,269.966675,724.400024,516.837524,204.487549,7567.75
07-10-2022,436.049988,368.100006,411.587494,1103.166626,1039.449951,2531.699951,269.333344,726.25,505.362488,204.281296,7459.600098
07-11-2022,436,375.350006,415.831238,1049.56665,1053.25,2504.649902,264.100006,744.049988,512.474976,207.318802,7454.149902
